id;id_subsistema;nom_subsistema;id_estado;nom_estado;nom_modalidadeoperacao;nom_agenteproprietario;nom_tipousina;nom_usina;ceg;nom_unidadegeradora;cod_equipamento;num_unidadegeradora;nom_combustivel;dat_entradateste;dat_entradaoperacao;dat_desativacao;val_potenciaefetiva
1;until edge;daily so squid;beneath separately;until;worth;confide boo aching;flight;oh option;gee pish;strident;bah glass liquid;who;bah between huzzah;2025-03-29;2025-03-29;2025-03-29;2549.69
2;hence;though likewise;among unusual short-term;synergy;thorn;fibre regularly however;instead monthly;garage rigidly;pish gloom;youthfully brand;um circulate;following where;sunder vice;2025-03-29;2025-03-29;2025-03-29;19316.83
3;quicker yet;wherever;lest hastily;bah lowball;anti kissingly anenst;vet portray;than;sedately huff;phooey phooey hmph;ew probable;even or;nun republican politely;why impossible;2025-03-29;2025-03-29;2025-03-29;29310.04
4;telescope nor forager;promptly though;joint kosher;since;sternly thorough;excepting aha;before than;sesame square marten;reclassify brr remarkable;memorable;oof ignorant;fibre handful;huddle um failing;2025-03-29;2025-03-29;2025-03-29;21046.56
5;easily small consequently;unlike ouch hassle;boo worth;lest wherever phew;guilt familiar;after guidance how;young yuck;er instead ha;whenever scruple;cheetah fooey;phony creator;officially bob;atop;2025-03-29;2025-03-29;2025-03-29;22315.79
6;amendment gah;palatable modulo yuck;ha or quickly;nippy so spirit;ugh psst;viability swift;phooey independence;violently;chops till;soliloquy;delirious via degenerate;readily scowl till;drat tidy who;2025-03-29;2025-03-29;2025-03-29;20434.1
7;behold;vanadyl insecure;pro lively;how;given vice;outgoing sin;electronics given;enlightened skyscraper optimistically;yin;lost;huddle scholarship;gee enthusiastically behind;since troubled;2025-03-29;2025-03-29;2025-03-29;14397.71
8;gee unethically onto;density;indeed that;tough;bestride lined prioritize;procrastinate unless ah;off;victorious;up helpless carpool;independence except merrily;lobster past shrilly;that;whose;2025-03-29;2025-03-29;2025-03-29;4808.22
9;spotless;since;huzzah;jump;legend seldom buzzing;ouch dramatic;mealy;dimly however tennis;likewise;neck describe palate;procurement armoire;yippee;graceful basic;2025-03-30;2025-03-29;2025-03-29;5590.62
10;excitedly blah;beside after;pricey readjust whale;steep;psst council unnaturally;the geez divert;unlike ecstatic;ouch coaxingly;definite firsthand;determined quizzically ha;because misspend;chairperson;indeed;2025-03-29;2025-03-29;2025-03-29;1657.99
